AoA	Cl	Cd	Cm
130.0	-0.8305	1.06	-0.585
131.0	-0.842	1.043	-0.582
132.0	-0.8535	1.026	-0.579
133.0	-0.865	1.009	-0.576
134.0	-0.8704	0.992	-0.573
135.0	-0.8758	0.975	-0.57
136.0	-0.8812	0.958	-0.567
137.0	-0.8866	0.941	-0.564
138.0	-0.892	0.924	-0.561
139.0	-0.8974	0.907	-0.558
140.0	-0.9028	0.89	-0.555
141.0	-0.9082	0.864	-0.5488
142.0	-0.9136	0.838	-0.5425
143.0	-0.919	0.812	-0.5362
144.0	-0.9244	0.786	-0.53
145.0	-0.9298	0.76	-0.5238
146.0	-0.9352	0.734	-0.5175
147.0	-0.9406	0.708	-0.5112
148.0	-0.946	0.682	-0.505
149.0	-0.9514	0.656	-0.4988
150.0	-0.9568	0.63	-0.4925
151.0	-0.9622	0.604	-0.4862
152.0	-0.9676	0.578	-0.48
153.0	-0.973	0.552	-0.4738
154.0	-0.9784	0.526	-0.4675
155.0	-0.9838	0.5	-0.4612
156.0	-0.9892	0.4689	-0.455
157.0	-0.9946	0.4378	-0.4488
158.0	-1.0	0.4067	-0.4425
159.0	-0.965	0.3756	-0.4362
160.0	-0.93	0.3444	-0.43
161.0	-0.895	0.3133	-0.4238
162.0	-0.86	0.2822	-0.4175
163.0	-0.825	0.2511	-0.4112
164.0	-0.79	0.22	-0.405
165.0	-0.755	0.2017	-0.3988
166.0	-0.72	0.1833	-0.3925
167.0	-0.745	0.165	-0.3862
168.0	-0.77	0.1467	-0.38
169.0	-0.795	0.1283	-0.3825
170.0	-0.82	0.11	-0.385
171.0	-0.734	0.096	-0.3875
172.0	-0.648	0.082	-0.39
173.0	-0.562	0.068	-0.3625
174.0	-0.476	0.054	-0.335
175.0	-0.39	0.04	-0.3075
176.0	-0.304	0.035	-0.28
177.0	-0.218	0.03	-0.22
178.0	-0.132	0.025	-0.16
179.0	-0.046	0.02	-0.1
180.0	0.04	0.015	-0.04
